HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
Fulham,Ipswich,D,4.0,3.0,9.0,2.0,0.6378749548247199,0.7880871584211467,0.6304697267369174,0.6378749548247199,0
Liverpool,Man United,D,6.0,4.0,6.0,9.0,1.5308520633085205,0.945642857142857,0.6304285714285714,1.0205680422056804,0
Fulham,Ipswich,D,4.0,3.0,9.0,2.0,0.765402124430956,0.9455811462238886,0.9455811462238886,0.765402124430956,0
Monza,Cagliari,A,2.0,4.0,1.0,3.0,0.6378151867639622,1.5758657622277759,0.6303463048911103,0.892941261469547,-1
Lecce,Genoa,D,3.0,1.0,9.0,4.0,0.8929778933680103,1.1030340888809564,0.9454577904693913,0.25513654096228866,0
Torino,Parma,D,4.0,3.0,8.0,7.0,0.12758271926022252,1.1031590219525254,0.6303765839728718,2.1689062274237827,0
Roma,Lazio,H,5.0,6.0,3.0,10.0,2.2967490247074123,0.6304479742994824,1.103283955024094,0.6379858401965034,1
Roma,Lazio,H,5.0,6.0,3.0,10.0,2.5518636232302803,0.3152596823130466,0.9457790469391397,0.5103727246460561,1
Marseille,Le Havre,H,9.0,1.0,4.0,0.0,0.8931243680485339,1.1035338211672316,0.9458861324290557,0.6379459771775242,1
Lens,Toulouse,A,1.0,4.0,7.0,1.0,1.1480181936322287,1.2612117426608371,0.3153029356652093,1.2755757707024764,-1
Angers,Brest,H,2.0,4.0,2.0,4.0,1.0205761316872428,2.5224839400428265,1.1035867237687365,1.9135802469135803,1
Liverpool,Man United,D,6.0,4.0,6.0,9.0,1.5308164296542264,1.2613847251962884,0.9460385438972162,1.020544286436151,0
Angers,Brest,H,2.0,4.0,2.0,4.0,0.7653843377841935,2.207279214986619,0.9459768064228368,1.785896788163118,1
Strasbourg,Auxerre,H,4.0,7.0,4.0,3.0,0.6378003896947392,1.103764495985727,1.2614451382694023,1.0204806235115826,1
Marseille,Le Havre,H,9.0,1.0,4.0,0.0,1.403015873015873,0.7884220854517884,1.1037909196325038,1.1479220779220778,1
Torino,Parma,D,4.0,3.0,8.0,7.0,0.0,0.9461291473421335,0.31537638244737787,2.0402452217814644,0
Lecce,Genoa,D,3.0,1.0,9.0,4.0,0.7651785070320951,0.9462361755262219,0.6308241170174813,0.25505950234403174,0
Strasbourg,Auxerre,H,4.0,7.0,4.0,3.0,0.637720879913451,1.104067070995362,1.104067070995362,1.147897583844212,1
Lens,Toulouse,A,1.0,4.0,7.0,1.0,0.765186039803865,1.1040934629447963,0.15772763756354233,1.2753100663397752,-1
Wolves,Nott'm Forest,A,6.0,3.0,5.0,3.0,1.0203634265935968,1.2618512573568754,1.7350454788657037,0.2550908566483992,-1
Wolves,Nott'm Forest,A,6.0,3.0,5.0,3.0,0.7653591000865301,1.1039493625746635,1.7347775697601855,0.0,-1
Lazio,Como,D,4.0,4.0,7.0,7.0,0.6378713585232189,2.2075579322638146,0.7884135472370767,1.148168445341794,0
Auxerre,Lille,D,3.0,5.0,6.0,10.0,0.6378974691758598,0.6307459228232778,1.2614918456465556,1.0206359506813758,0
